method,instance_name,config,avg_gap
AILS,Correia_Random_4_3_10_1,set1_3types_linear,-0.21448431086985303
AILS,Correia_Random_4_3_10_1,set1_5types_linear,-0.19493435883835036
AILS,Correia_Random_4_3_10_10,set1_3types_linear,-0.18100734522560336
AILS,Correia_Random_4_3_10_10,set1_5types_linear,-0.11550072187951174
AILS,Correia_Random_4_3_10_2,set1_3types_linear,-0.24861878453038674
AILS,Correia_Random_4_3_10_2,set1_5types_linear,-0.2474335351408265
AILS,Correia_Random_4_3_10_3,set1_3types_linear,-0.2340341134470448
AILS,Correia_Random_4_3_10_3,set1_5types_linear,-0.23015873015873015
AILS,Correia_Random_4_3_10_4,set1_3types_linear,-0.1912676427911885
AILS,Correia_Random_4_3_10_4,set1_5types_linear,-0.10034327964087668
AILS,Correia_Random_4_3_10_5,set1_3types_linear,-0.041813667842676074
AILS,Correia_Random_4_3_10_5,set1_5types_linear,-0.04315417810906237
AILS,Correia_Random_4_3_10_6,set1_3types_linear,-0.32525678166973926
AILS,Correia_Random_4_3_10_6,set1_5types_linear,-0.2860532559978909
AILS,Correia_Random_4_3_10_7,set1_3types_linear,-0.16666666666666666
AILS,Correia_Random_4_3_10_7,set1_5types_linear,-0.10206786850477201
AILS,Correia_Random_4_3_10_8,set1_3types_linear,-0.1554133472639415
AILS,Correia_Random_4_3_10_8,set1_5types_linear,-0.09674467250620997
AILS,Correia_Random_4_3_10_9,set1_3types_linear,-0.20491803278688522
AILS,Correia_Random_4_3_10_9,set1_5types_linear,-0.23021963482402752
AILS,Correia_Random_4_3_11_1,set1_3types_linear,-0.1467772814294831
AILS,Correia_Random_4_3_11_1,set1_5types_linear,-0.12297734627831716
AILS,Correia_Random_4_3_11_10,set1_3types_linear,-0.21093848680055577
AILS,Correia_Random_4_3_11_10,set1_5types_linear,-0.10981994636700294
AILS,Correia_Random_4_3_11_2,set1_3types_linear,-0.2556638400202506
AILS,Correia_Random_4_3_11_2,set1_5types_linear,-0.19683026584867075
AILS,Correia_Random_4_3_11_3,set1_3types_linear,-0.3477371516236257
AILS,Correia_Random_4_3_11_3,set1_5types_linear,-0.13174890209248255
AILS,Correia_Random_4_3_11_4,set1_3types_linear,-0.13021830716200689
AILS,Correia_Random_4_3_11_4,set1_5types_linear,-0.10834515671353025
AILS,Correia_Random_4_3_11_5,set1_3types_linear,-0.0984102952308857
AILS,Correia_Random_4_3_11_5,set1_5types_linear,-0.12137472850389677
AILS,Correia_Random_4_3_11_6,set1_3types_linear,-0.2593769866497139
AILS,Correia_Random_4_3_11_6,set1_5types_linear,-0.15558698727015557
AILS,Correia_Random_4_3_11_7,set1_3types_linear,-0.05224260958205912
AILS,Correia_Random_4_3_11_7,set1_5types_linear,-0.11503166602042134
AILS,Correia_Random_4_3_11_8,set1_3types_linear,-0.10466582597730138
AILS,Correia_Random_4_3_11_8,set1_5types_linear,-0.04856230031948881
AILS,Correia_Random_4_3_11_9,set1_3types_linear,-0.24058044806517312
AILS,Correia_Random_4_3_11_9,set1_5types_linear,-0.12496779180623552
AILS,Correia_Random_4_3_9_1,set1_3types_linear,-0.07451763140385895
AILS,Correia_Random_4_3_9_1,set1_5types_linear,-0.11860341151385927
AILS,Correia_Random_4_3_9_10,set1_3types_linear,-0.018496498876998283
AILS,Correia_Random_4_3_9_10,set1_5types_linear,-0.01453488372093023
AILS,Correia_Random_4_3_9_2,set1_3types_linear,-0.01852341889388727
AILS,Correia_Random_4_3_9_2,set1_5types_linear,-0.10845126306044173
AILS,Correia_Random_4_3_9_3,set1_3types_linear,-0.08903654485049835
AILS,Correia_Random_4_3_9_3,set1_5types_linear,-0.12757475083056477
AILS,Correia_Random_4_3_9_4,set1_3types_linear,-0.09423944783647464
AILS,Correia_Random_4_3_9_4,set1_5types_linear,-0.025239107332624865
AILS,Correia_Random_4_3_9_5,set1_3types_linear,-0.01311647429171039
AILS,Correia_Random_4_3_9_5,set1_5types_linear,-0.026236389872753514
AILS,Correia_Random_4_3_9_6,set1_3types_linear,-0.1021355617455896
AILS,Correia_Random_4_3_9_6,set1_5types_linear,-0.14592730167153092
AILS,Correia_Random_4_3_9_7,set1_3types_linear,0.03327122704285334
AILS,Correia_Random_4_3_9_7,set1_5types_linear,-0.002664890073284477
AILS,Correia_Random_4_3_9_8,set1_3types_linear,0.005259697567389875
AILS,Correia_Random_4_3_9_8,set1_5types_linear,0.005261081152176773
AILS,Correia_Random_4_3_9_9,set1_3types_linear,-0.09968102073365231
AILS,Correia_Random_4_3_9_9,set1_5types_linear,-0.1356924304908873
AILS,HS_Random_4_10_1,set2_7types_concave,-0.8523066791868391
AILS,HS_Random_4_10_1,set2_7types_convex,-0.21953302484468584
AILS,HS_Random_4_10_1,set2_7types_linear,-0.3235965671994331
AILS,HS_Random_4_10_10,set2_7types_concave,-0.6235185118338568
AILS,HS_Random_4_10_10,set2_7types_convex,-0.2609776760664107
AILS,HS_Random_4_10_10,set2_7types_linear,-0.36841287113321936
AILS,HS_Random_4_10_2,set2_7types_concave,-0.7820014573718728
AILS,HS_Random_4_10_2,set2_7types_convex,-0.2625763173462213
AILS,HS_Random_4_10_2,set2_7types_linear,-0.40464240903387705
AILS,HS_Random_4_10_3,set2_7types_concave,-0.533414642895577
AILS,HS_Random_4_10_3,set2_7types_convex,-0.1654028694561126
AILS,HS_Random_4_10_3,set2_7types_linear,-0.316567819456212
AILS,HS_Random_4_10_4,set2_7types_concave,-0.3483492712679819
AILS,HS_Random_4_10_4,set2_7types_convex,-0.11641228627431817
AILS,HS_Random_4_10_4,set2_7types_linear,-0.24466702347274255
AILS,HS_Random_4_10_5,set2_7types_concave,-0.8129242932027155
AILS,HS_Random_4_10_5,set2_7types_convex,-0.29598999470440435
AILS,HS_Random_4_10_5,set2_7types_linear,-0.3656408629441624
AILS,HS_Random_4_10_6,set2_7types_concave,-1.0403143574821558
AILS,HS_Random_4_10_6,set2_7types_convex,-0.1605190477277396
AILS,HS_Random_4_10_6,set2_7types_linear,-0.3858210754762479
AILS,HS_Random_4_10_7,set2_7types_concave,-0.7899875086408674
AILS,HS_Random_4_10_7,set2_7types_convex,-0.24268164894209976
AILS,HS_Random_4_10_7,set2_7types_linear,-0.2760832160175192
AILS,HS_Random_4_10_8,set2_7types_concave,-0.6918972788371556
AILS,HS_Random_4_10_8,set2_7types_convex,-0.23931586035659064
AILS,HS_Random_4_10_8,set2_7types_linear,-0.3147756636128729
AILS,HS_Random_4_10_9,set2_7types_concave,-0.7654852930188538
AILS,HS_Random_4_10_9,set2_7types_convex,-0.20311912600676685
AILS,HS_Random_4_10_9,set2_7types_linear,-0.3467696516212085
AILS,HS_Random_4_11_1,set2_7types_concave,-0.6751314082872552
AILS,HS_Random_4_11_1,set2_7types_convex,-0.23647281255717761
AILS,HS_Random_4_11_1,set2_7types_linear,-0.08983415233415233
AILS,HS_Random_4_11_10,set2_7types_concave,-0.575841271630686
AILS,HS_Random_4_11_10,set2_7types_convex,-0.21289877451785655
AILS,HS_Random_4_11_10,set2_7types_linear,-0.21334750588413937
AILS,HS_Random_4_11_2,set2_7types_concave,-0.6757185242225896
AILS,HS_Random_4_11_2,set2_7types_convex,-0.2687503469716316
AILS,HS_Random_4_11_2,set2_7types_linear,-0.20150168556543058
AILS,HS_Random_4_11_3,set2_7types_concave,-0.2993857604017217
AILS,HS_Random_4_11_3,set2_7types_convex,-0.19445257373264396
AILS,HS_Random_4_11_3,set2_7types_linear,-0.19197470450952345
AILS,HS_Random_4_11_4,set2_7types_concave,-0.3982271468144044
AILS,HS_Random_4_11_4,set2_7types_convex,-0.13201676677758092
AILS,HS_Random_4_11_4,set2_7types_linear,-0.21609092268580826
AILS,HS_Random_4_11_5,set2_7types_concave,-0.40152063306113545
AILS,HS_Random_4_11_5,set2_7types_convex,-0.17437133806173083
AILS,HS_Random_4_11_5,set2_7types_linear,-0.15422769898473224
AILS,HS_Random_4_11_6,set2_7types_concave,-0.8642679265482812
AILS,HS_Random_4_11_6,set2_7types_convex,-0.12135178395068735
AILS,HS_Random_4_11_6,set2_7types_linear,-0.16958467457014997
AILS,HS_Random_4_11_7,set2_7types_concave,-0.5736618521665251
AILS,HS_Random_4_11_7,set2_7types_convex,-0.20757562317040718
AILS,HS_Random_4_11_7,set2_7types_linear,-0.1283716665393138
AILS,HS_Random_4_11_8,set2_7types_concave,-0.6188991785933696
AILS,HS_Random_4_11_8,set2_7types_convex,-0.20742544528981713
AILS,HS_Random_4_11_8,set2_7types_linear,-0.18392213962755766
AILS,HS_Random_4_11_9,set2_7types_concave,-0.7426011246983292
AILS,HS_Random_4_11_9,set2_7types_convex,-0.1272577763915275
AILS,HS_Random_4_11_9,set2_7types_linear,-0.1755485893416928
AILS,HS_Random_4_9_1,set2_7types_concave,-0.5542147798858897
AILS,HS_Random_4_9_1,set2_7types_convex,-0.23623895511627518
AILS,HS_Random_4_9_1,set2_7types_linear,-0.34837688044338877
AILS,HS_Random_4_9_10,set2_7types_concave,-0.3284386662438715
AILS,HS_Random_4_9_10,set2_7types_convex,-0.27565345792744744
AILS,HS_Random_4_9_10,set2_7types_linear,-0.36599671541409246
AILS,HS_Random_4_9_2,set2_7types_concave,-0.46542060689859505
AILS,HS_Random_4_9_2,set2_7types_convex,-0.19051400196832782
AILS,HS_Random_4_9_2,set2_7types_linear,-0.3168457648546144
AILS,HS_Random_4_9_3,set2_7types_concave,-0.41403704286942933
AILS,HS_Random_4_9_3,set2_7types_convex,-0.18845372977929137
AILS,HS_Random_4_9_3,set2_7types_linear,-0.2738981998758535
AILS,HS_Random_4_9_4,set2_7types_concave,-0.30093976422200436
AILS,HS_Random_4_9_4,set2_7types_convex,-0.09967571443315208
AILS,HS_Random_4_9_4,set2_7types_linear,-0.2063125481139338
AILS,HS_Random_4_9_5,set2_7types_concave,-0.5639200656994252
AILS,HS_Random_4_9_5,set2_7types_convex,-0.26278993719202104
AILS,HS_Random_4_9_5,set2_7types_linear,-0.3534386468804851
AILS,HS_Random_4_9_6,set2_7types_concave,-0.6875338787550267
AILS,HS_Random_4_9_6,set2_7types_convex,-0.2099391364918411
AILS,HS_Random_4_9_6,set2_7types_linear,-0.346778756769865
AILS,HS_Random_4_9_7,set2_7types_concave,-0.4574448472930621
AILS,HS_Random_4_9_7,set2_7types_convex,-0.2662269541538324
AILS,HS_Random_4_9_7,set2_7types_linear,-0.30507941500235886
AILS,HS_Random_4_9_8,set2_7types_concave,-0.39663757826751467
AILS,HS_Random_4_9_8,set2_7types_convex,-0.25292854407937454
AILS,HS_Random_4_9_8,set2_7types_linear,-0.2619122751656674
AILS,HS_Random_4_9_9,set2_7types_concave,-0.6056590438689484
AILS,HS_Random_4_9_9,set2_7types_convex,-0.25893325428134906
AILS,HS_Random_4_9_9,set2_7types_linear,-0.3876031720343098
SFC,Correia_Random_4_3_10_1,set1_3types_linear,0.09400238315900966
SFC,Correia_Random_4_3_10_1,set1_5types_linear,0.0729346240551651
SFC,Correia_Random_4_3_10_10,set1_3types_linear,0.05115424973767051
SFC,Correia_Random_4_3_10_10,set1_5types_linear,0.04462527890799317
SFC,Correia_Random_4_3_10_2,set1_3types_linear,0.05656406208892397
SFC,Correia_Random_4_3_10_2,set1_5types_linear,0.030271123979994735
SFC,Correia_Random_4_3_10_3,set1_3types_linear,0.10710035700119
SFC,Correia_Random_4_3_10_3,set1_5types_linear,0.05952380952380952
SFC,Correia_Random_4_3_10_4,set1_3types_linear,0.04352987732489118
SFC,Correia_Random_4_3_10_4,set1_5types_linear,0.04753102719831001
SFC,Correia_Random_4_3_10_5,set1_3types_linear,0.05488043904351235
SFC,Correia_Random_4_3_10_5,set1_5types_linear,0.03138485680659082
SFC,Correia_Random_4_3_10_6,set1_3types_linear,0.09217803529101923
SFC,Correia_Random_4_3_10_6,set1_5types_linear,0.07513841286580544
SFC,Correia_Random_4_3_10_7,set1_3types_linear,0.07804232804232804
SFC,Correia_Random_4_3_10_7,set1_5types_linear,0.07158006362672323
SFC,Correia_Random_4_3_10_8,set1_3types_linear,0.08488964346349745
SFC,Correia_Random_4_3_10_8,set1_5types_linear,0.05098705713165119
SFC,Correia_Random_4_3_10_9,set1_3types_linear,0.1044420941300899
SFC,Correia_Random_4_3_10_9,set1_5types_linear,0.0449854458851548
SFC,Correia_Random_4_3_11_1,set1_3types_linear,0.2731333758774729
SFC,Correia_Random_4_3_11_1,set1_5types_linear,0.11003236245954692
SFC,Correia_Random_4_3_11_10,set1_3types_linear,0.2614626752557787
SFC,Correia_Random_4_3_11_10,set1_5types_linear,0.09705018516153747
SFC,Correia_Random_4_3_11_2,set1_3types_linear,0.21009998734337426
SFC,Correia_Random_4_3_11_2,set1_5types_linear,0.05240286298568507
SFC,Correia_Random_4_3_11_3,set1_3types_linear,0.2135003835336231
SFC,Correia_Random_4_3_11_3,set1_5types_linear,0.054249547920433995
SFC,Correia_Random_4_3_11_4,set1_3types_linear,0.24256351334099321
SFC,Correia_Random_4_3_11_4,set1_5types_linear,0.07480975106410422
SFC,Correia_Random_4_3_11_5,set1_3types_linear,0.21826898814029777
SFC,Correia_Random_4_3_11_5,set1_5types_linear,0.10604318385077297
SFC,Correia_Random_4_3_11_6,set1_3types_linear,0.2606484424666243
SFC,Correia_Random_4_3_11_6,set1_5types_linear,0.020573485920020573
SFC,Correia_Random_4_3_11_7,set1_3types_linear,0.24719673802242612
SFC,Correia_Random_4_3_11_7,set1_5types_linear,0.11632415664986429
SFC,Correia_Random_4_3_11_8,set1_3types_linear,0.2786885245901639
SFC,Correia_Random_4_3_11_8,set1_5types_linear,0.129073482428115
SFC,Correia_Random_4_3_11_9,set1_3types_linear,0.23294297352342158
SFC,Correia_Random_4_3_11_9,set1_5types_linear,0.056686421025508894
SFC,Correia_Random_4_3_9_1,set1_3types_linear,0.05854956753160345
SFC,Correia_Random_4_3_9_1,set1_5types_linear,0.02398720682302772
SFC,Correia_Random_4_3_9_10,set1_3types_linear,0.06605892456070815
SFC,Correia_Random_4_3_9_10,set1_5types_linear,0.048890063424947144
SFC,Correia_Random_4_3_9_2,set1_3types_linear,0.09261709446943636
SFC,Correia_Random_4_3_9_2,set1_5types_linear,0.03967729136357625
SFC,Correia_Random_4_3_9_3,set1_3types_linear,0.0425249169435216
SFC,Correia_Random_4_3_9_3,set1_5types_linear,0.0478405315614618
SFC,Correia_Random_4_3_9_4,set1_3types_linear,0.05707459516856915
SFC,Correia_Random_4_3_9_4,set1_5types_linear,0.04649309245483528
SFC,Correia_Random_4_3_9_5,set1_3types_linear,0.061647429171038826
SFC,Correia_Random_4_3_9_5,set1_5types_linear,0.019677292404565134
SFC,Correia_Random_4_3_9_6,set1_3types_linear,0.049078127072556044
SFC,Correia_Random_4_3_9_6,set1_5types_linear,0.04377819050145927
SFC,Correia_Random_4_3_9_7,set1_3types_linear,0.09449028480170349
SFC,Correia_Random_4_3_9_7,set1_5types_linear,0.02664890073284477
SFC,Correia_Random_4_3_9_8,set1_3types_linear,0.05391190006574622
SFC,Correia_Random_4_3_9_8,set1_5types_linear,0.02499013547283967
SFC,Correia_Random_4_3_9_9,set1_3types_linear,0.04120148856990962
SFC,Correia_Random_4_3_9_9,set1_5types_linear,0.05055208194758547
SFC,HS_Random_4_10_1,set2_7types_concave,0.848282338020268
SFC,HS_Random_4_10_1,set2_7types_convex,0.03287692642601575
SFC,HS_Random_4_10_1,set2_7types_linear,0.09605542870640107
SFC,HS_Random_4_10_10,set2_7types_concave,0.6690009505589046
SFC,HS_Random_4_10_10,set2_7types_convex,0.0619987017130786
SFC,HS_Random_4_10_10,set2_7types_linear,0.0932690812995492
SFC,HS_Random_4_10_2,set2_7types_concave,0.7682778722370658
SFC,HS_Random_4_10_2,set2_7types_convex,0.013393903541571328
SFC,HS_Random_4_10_2,set2_7types_linear,0.10116060225846926
SFC,HS_Random_4_10_3,set2_7types_concave,0.709545503461635
SFC,HS_Random_4_10_3,set2_7types_convex,0.042278108122852
SFC,HS_Random_4_10_3,set2_7types_linear,0.09936070245705923
SFC,HS_Random_4_10_4,set2_7types_concave,0.717147956831641
SFC,HS_Random_4_10_4,set2_7types_convex,0.042514375071264515
