method,config,instance_name,best_obj,avg_obj,mean_runtime,runs
sfc,set2_7types_concave,HS_Random_4_10_1,82604.0,82696.6,9.0097831,10
vanilla,set2_7types_concave,HS_Random_4_10_1,82001.0,82099.6,9.3549828,10
sfc,set2_7types_concave,HS_Random_4_10_10,83598.0,83665.0,7.5175453,10
vanilla,set2_7types_concave,HS_Random_4_10_10,83109.0,83193.4,9.5898438,10
sfc,set2_7types_concave,HS_Random_4_10_2,82853.0,82972.6,6.5166406,10
vanilla,set2_7types_concave,HS_Random_4_10_2,82340.0,82435.7,8.7865353,10
sfc,set2_7types_concave,HS_Random_4_10_3,84152.0,84224.4,6.0618516,10
vanilla,set2_7types_concave,HS_Random_4_10_3,83631.0,83747.5,9.6669157,10
sfc,set2_7types_concave,HS_Random_4_10_4,85146.0,85205.7,6.5708302000000005,10
vanilla,set2_7types_concave,HS_Random_4_10_4,84599.0,84718.6,9.6719102,10
sfc,set2_7types_concave,HS_Random_4_10_5,81957.0,82074.1,8.8519572,10
vanilla,set2_7types_concave,HS_Random_4_10_5,81459.0,81546.7,9.5430586,10
sfc,set2_7types_concave,HS_Random_4_10_6,80806.0,80952.6,8.6746838,10
vanilla,set2_7types_concave,HS_Random_4_10_6,80418.0,80470.8,9.8942313,10
sfc,set2_7types_concave,HS_Random_4_10_7,82939.0,83032.3,9.8002875,10
vanilla,set2_7types_concave,HS_Random_4_10_7,82457.0,82564.3,9.559151199999999,10
sfc,set2_7types_concave,HS_Random_4_10_8,82905.0,83073.5,7.0200552,10
vanilla,set2_7types_concave,HS_Random_4_10_8,82281.0,82344.2,8.8716827,10
sfc,set2_7types_concave,HS_Random_4_10_9,80912.0,81048.0,9.0821978,10
vanilla,set2_7types_concave,HS_Random_4_10_9,80302.0,80391.5,9.286054799999999,10
sfc,set2_7types_concave,HS_Random_4_11_1,88196.0,88403.6,10.7660923,10
vanilla,set2_7types_concave,HS_Random_4_11_1,87894.0,87997.5,8.1585738,10
sfc,set2_7types_concave,HS_Random_4_11_10,89171.0,89257.8,10.6654791,10
vanilla,set2_7types_concave,HS_Random_4_11_10,88705.0,88786.3,7.550818700000001,10
sfc,set2_7types_concave,HS_Random_4_11_2,88585.0,88734.8,11.3962238,10
vanilla,set2_7types_concave,HS_Random_4_11_2,88306.0,88354.2,8.299367700000001,10
sfc,set2_7types_concave,HS_Random_4_11_3,89685.0,89809.5,9.576463,10
vanilla,set2_7types_concave,HS_Random_4_11_3,89216.0,89334.6,7.950892900000001,10
sfc,set2_7types_concave,HS_Random_4_11_4,90551.0,90718.4,12.0962914,10
vanilla,set2_7types_concave,HS_Random_4_11_4,90250.0,90375.0,8.3931596,10
sfc,set2_7types_concave,HS_Random_4_11_5,87469.0,87652.3,12.1660324,10
vanilla,set2_7types_concave,HS_Random_4_11_5,87069.0,87148.4,7.762719,10
sfc,set2_7types_concave,HS_Random_4_11_6,86361.0,86476.3,12.0445261,10
vanilla,set2_7types_concave,HS_Random_4_11_6,85934.0,86035.6,7.559573899999999,10
sfc,set2_7types_concave,HS_Random_4_11_7,88719.0,88891.0,11.339519899999999,10
vanilla,set2_7types_concave,HS_Random_4_11_7,88275.0,88409.3,7.587098899999999,10
sfc,set2_7types_concave,HS_Random_4_11_8,88273.0,88376.2,10.9148376,10
vanilla,set2_7types_concave,HS_Random_4_11_8,87898.0,88000.0,7.8305308,10
sfc,set2_7types_concave,HS_Random_4_11_9,87151.0,87229.2,10.8144039,10
vanilla,set2_7types_concave,HS_Random_4_11_9,86601.0,86716.0,7.8197703,10
sfc,set2_7types_concave,HS_Random_4_9_1,81325.0,81386.0,10.6793566,10
vanilla,set2_7types_concave,HS_Random_4_9_1,80799.0,80939.4,13.4283808,10
sfc,set2_7types_concave,HS_Random_4_9_10,82305.0,82376.6,10.6803744,10
vanilla,set2_7types_concave,HS_Random_4_9_10,81994.0,82083.5,13.557481999999998,10
sfc,set2_7types_concave,HS_Random_4_9_2,81331.0,81408.8,10.392166399999999,10
vanilla,set2_7types_concave,HS_Random_4_9_2,81002.0,81080.3,11.061665999999999,10
sfc,set2_7types_concave,HS_Random_4_9_3,82960.0,83017.4,6.1646793,10
vanilla,set2_7types_concave,HS_Random_4_9_3,82553.0,82651.1,11.8740818,10
sfc,set2_7types_concave,HS_Random_4_9_4,83841.0,83903.8,5.875639,10
vanilla,set2_7types_concave,HS_Random_4_9_4,83638.0,83724.5,13.387333000000002,10
sfc,set2_7types_concave,HS_Random_4_9_5,80735.0,80802.6,7.968840299999999,10
vanilla,set2_7types_concave,HS_Random_4_9_5,80366.0,80421.5,12.8458547,10
sfc,set2_7types_concave,HS_Random_4_9_6,79636.0,79690.1,12.4522874,10
vanilla,set2_7types_concave,HS_Random_4_9_6,79327.0,79398.7,13.743602899999999,10
sfc,set2_7types_concave,HS_Random_4_9_7,81730.0,81812.0,10.5566935,10
vanilla,set2_7types_concave,HS_Random_4_9_7,81365.0,81425.2,11.106168199999999,10
sfc,set2_7types_concave,HS_Random_4_9_8,81437.0,81504.5,7.2008362,10
vanilla,set2_7types_concave,HS_Random_4_9_8,81132.0,81176.1,11.222887,10
sfc,set2_7types_concave,HS_Random_4_9_9,79583.0,79740.7,10.6067381,10
vanilla,set2_7types_concave,HS_Random_4_9_9,79236.0,79300.0,12.1893756,10
sfc,set2_7types_convex,HS_Random_4_10_1,179174.0,179211.9,19.3458933,10
vanilla,set2_7types_convex,HS_Random_4_10_1,179153.0,179182.7,14.8579063,10
sfc,set2_7types_convex,HS_Random_4_10_10,181878.0,181890.7,16.7992913,10
vanilla,set2_7types_convex,HS_Random_4_10_10,181778.0,181825.2,15.677715599999999,10
sfc,set2_7types_convex,HS_Random_4_10_2,179197.0,179210.0,23.605857,10
vanilla,set2_7types_convex,HS_Random_4_10_2,179186.0,179208.5,14.0037092,10
sfc,set2_7types_convex,HS_Random_4_10_3,183376.0,183387.5,17.6641732,10
vanilla,set2_7types_convex,HS_Random_4_10_3,183310.0,183351.9,15.1145969,10
sfc,set2_7types_convex,HS_Random_4_10_4,184222.0,184251.3,18.9173354,10
vanilla,set2_7types_convex,HS_Random_4_10_4,184173.0,184202.0,15.214742300000001,10
sfc,set2_7types_convex,HS_Random_4_10_5,177575.0,177602.8,17.4878841,10
vanilla,set2_7types_convex,HS_Random_4_10_5,177506.0,177528.1,16.4894119,10
sfc,set2_7types_convex,HS_Random_4_10_6,175300.0,175310.2,17.029918000000002,10
vanilla,set2_7types_convex,HS_Random_4_10_6,175244.0,175273.7,16.2798898,10
sfc,set2_7types_convex,HS_Random_4_10_7,179445.0,179460.8,19.8933581,10
vanilla,set2_7types_convex,HS_Random_4_10_7,179412.0,179441.6,14.451581999999998,10
sfc,set2_7types_convex,HS_Random_4_10_8,180559.0,180585.8,21.7761614,10
vanilla,set2_7types_convex,HS_Random_4_10_8,180431.0,180480.4,15.7968004,10
sfc,set2_7types_convex,HS_Random_4_10_9,175671.0,175692.7,16.526392800000004,10
vanilla,set2_7types_convex,HS_Random_4_10_9,175562.0,175594.6,15.868075199999998,10
sfc,set2_7types_convex,HS_Random_4_11_1,180460.0,180506.7,12.2202801,10
vanilla,set2_7types_convex,HS_Random_4_11_1,180359.0,180388.4,9.2978983,10
sfc,set2_7types_convex,HS_Random_4_11_10,182762.0,182797.7,15.482340400000002,10
vanilla,set2_7types_convex,HS_Random_4_11_10,182622.0,182676.9,9.9971051,10
sfc,set2_7types_convex,HS_Random_4_11_2,180177.0,180206.7,10.0122483,10
vanilla,set2_7types_convex,HS_Random_4_11_2,180130.0,180156.3,10.6468609,10
sfc,set2_7types_convex,HS_Random_4_11_3,184615.0,184636.8,15.329951600000001,10
vanilla,set2_7types_convex,HS_Random_4_11_3,184518.0,184551.7,10.064570100000001,10
sfc,set2_7types_convex,HS_Random_4_11_4,185175.0,185206.1,17.6006526,10
vanilla,set2_7types_convex,HS_Random_4_11_4,185128.0,185141.0,10.0893523,10
sfc,set2_7types_convex,HS_Random_4_11_5,178406.0,178448.4,10.285091099999999,10
vanilla,set2_7types_convex,HS_Random_4_11_5,178355.0,178384.4,9.6204723,10
sfc,set2_7types_convex,HS_Random_4_11_6,176228.0,176249.3,13.5668162,10
vanilla,set2_7types_convex,HS_Random_4_11_6,176182.0,176206.5,9.952732399999999,10
sfc,set2_7types_convex,HS_Random_4_11_7,180512.0,180535.5,14.9510695,10
vanilla,set2_7types_convex,HS_Random_4_11_7,180368.0,180415.6,9.6499077,10
sfc,set2_7types_convex,HS_Random_4_11_8,181615.0,181681.8,7.770403400000001,10
vanilla,set2_7types_convex,HS_Random_4_11_8,181511.0,181572.4,9.9597187,10
sfc,set2_7types_convex,HS_Random_4_11_9,176434.0,176474.9,8.6936471,10
vanilla,set2_7types_convex,HS_Random_4_11_9,176335.0,176376.4,10.099956,10
sfc,set2_7types_convex,HS_Random_4_9_1,179001.0,179038.8,23.263567000000002,10
vanilla,set2_7types_convex,HS_Random_4_9_1,178929.0,178958.3,27.0082143,10
sfc,set2_7types_convex,HS_Random_4_9_10,181730.0,181765.5,24.5347641,10
vanilla,set2_7types_convex,HS_Random_4_9_10,181496.0,181577.8,28.112542100000002,10
sfc,set2_7types_convex,HS_Random_4_9_2,178873.0,178890.9,18.342819600000002,10
vanilla,set2_7types_convex,HS_Random_4_9_2,178832.0,178880.9,23.6146311,10
sfc,set2_7types_convex,HS_Random_4_9_3,183247.0,183257.1,20.3646555,10
vanilla,set2_7types_convex,HS_Random_4_9_3,183228.0,183255.0,23.8072845,10
sfc,set2_7types_convex,HS_Random_4_9_4,184132.0,184142.7,15.373161300000001,10
vanilla,set2_7types_convex,HS_Random_4_9_4,184097.0,184130.8,24.8226519,10
sfc,set2_7types_convex,HS_Random_4_9_5,177486.0,177493.7,21.1535728,10
vanilla,set2_7types_convex,HS_Random_4_9_5,177366.0,177457.3,25.801939700000002,10
sfc,set2_7types_convex,HS_Random_4_9_6,175165.0,175172.6,21.8538322,10
vanilla,set2_7types_convex,HS_Random_4_9_6,175146.0,175174.0,24.6861442,10
sfc,set2_7types_convex,HS_Random_4_9_7,179326.0,179335.0,20.6091664,10
vanilla,set2_7types_convex,HS_Random_4_9_7,179208.0,179260.1,22.4460933,10
sfc,set2_7types_convex,HS_Random_4_9_8,180345.0,180356.5,19.050754899999998,10
vanilla,set2_7types_convex,HS_Random_4_9_8,180209.0,180230.0,25.9442601,10
sfc,set2_7types_convex,HS_Random_4_9_9,175508.0,175520.1,17.0924814,10
vanilla,set2_7types_convex,HS_Random_4_9_9,175412.0,175442.4,25.923885300000002,10
sfc,set2_7types_linear,HS_Random_4_10_1,127030.0,127132.0,10.2298823,10
vanilla,set2_7types_linear,HS_Random_4_10_1,127010.0,127071.0,11.9254402,10
sfc,set2_7types_linear,HS_Random_4_10_10,128700.0,128780.0,11.409291,10
vanilla,set2_7types_linear,HS_Random_4_10_10,128660.0,128720.0,12.3101,10
sfc,set2_7types_linear,HS_Random_4_10_2,127610.0,127649.0,11.478786600000001,10
vanilla,set2_7types_linear,HS_Random_4_10_2,127520.0,127598.0,11.6512385,10
sfc,set2_7types_linear,HS_Random_4_10_3,129860.0,129959.0,9.7874218,10
vanilla,set2_7types_linear,HS_Random_4_10_3,129830.0,129850.0,11.9670594,10
sfc,set2_7types_linear,HS_Random_4_10_4,130910.0,130951.0,9.6080203,10
vanilla,set2_7types_linear,HS_Random_4_10_4,130790.0,130868.0,11.868749300000001,10
sfc,set2_7types_linear,HS_Random_4_10_5,126190.0,126261.0,11.737026199999999,10
vanilla,set2_7types_linear,HS_Random_4_10_5,126080.0,126153.0,12.1659074,10
sfc,set2_7types_linear,HS_Random_4_10_6,124510.0,124602.0,11.2337074,10
vanilla,set2_7types_linear,HS_Random_4_10_6,124410.0,124477.0,11.8650162,10
sfc,set2_7types_linear,HS_Random_4_10_7,127940.0,128003.0,10.0914958,10
vanilla,set2_7types_linear,HS_Random_4_10_7,127860.0,127904.0,11.9612129,10
sfc,set2_7types_linear,HS_Random_4_10_8,127750.0,127810.0,10.5017341,10
vanilla,set2_7types_linear,HS_Random_4_10_8,127710.0,127749.0,11.9260985,10
sfc,set2_7types_linear,HS_Random_4_10_9,124420.0,124474.0,13.2207345,10
vanilla,set2_7types_linear,HS_Random_4_10_9,124290.0,124387.0,11.4951598,10
sfc,set2_7types_linear,HS_Random_4_11_1,130360.0,130399.0,9.7226846,10
vanilla,set2_7types_linear,HS_Random_4_11_1,130240.0,130293.0,8.5978394,10
sfc,set2_7types_linear,HS_Random_4_11_10,131800.0,131841.0,11.3028819,10
vanilla,set2_7types_linear,HS_Random_4_11_10,131710.0,131767.0,8.5279095,10
sfc,set2_7types_linear,HS_Random_4_11_2,130560.0,130624.0,14.305166700000001,10
vanilla,set2_7types_linear,HS_Random_4_11_2,130520.0,130572.0,9.5852017,10
sfc,set2_7types_linear,HS_Random_4_11_3,132900.0,133000.0,14.8247342,10
vanilla,set2_7types_linear,HS_Random_4_11_3,132830.0,132874.0,8.7788291,10
sfc,set2_7types_linear,HS_Random_4_11_4,133740.0,133819.0,13.5570876,10
vanilla,set2_7types_linear,HS_Random_4_11_4,133780.0,133813.0,8.669836,10
sfc,set2_7types_linear,HS_Random_4_11_5,129130.0,129187.0,11.827432,10
vanilla,set2_7types_linear,HS_Random_4_11_5,129030.0,129075.0,8.9411438,10
sfc,set2_7types_linear,HS_Random_4_11_6,127430.0,127527.0,13.249433399999997,10
vanilla,set2_7types_linear,HS_Random_4_11_6,127370.0,127460.0,8.7280682,10
sfc,set2_7types_linear,HS_Random_4_11_7,131000.0,131050.0,12.0078319,10
vanilla,set2_7types_linear,HS_Random_4_11_7,130870.0,130940.0,8.6764413,10
sfc,set2_7types_linear,HS_Random_4_11_8,130570.0,130614.0,13.4830754,10
vanilla,set2_7types_linear,HS_Random_4_11_8,130490.0,130599.0,9.1654403,10
sfc,set2_7types_linear,HS_Random_4_11_9,127650.0,127729.0,10.9807402,10
vanilla,set2_7types_linear,HS_Random_4_11_9,127600.0,127648.0,8.783213100000001,10
sfc,set2_7types_linear,HS_Random_4_9_1,126330.0,126401.0,10.0900086,10
vanilla,set2_7types_linear,HS_Random_4_9_1,126300.0,126337.0,16.1659286,10
sfc,set2_7types_linear,HS_Random_4_9_10,127970.0,128029.0,10.0095228,10
vanilla,set2_7types_linear,HS_Random_4_9_10,127870.0,127939.0,16.4104951,10
sfc,set2_7types_linear,HS_Random_4_9_2,126640.0,126684.0,9.4095107,10
vanilla,set2_7types_linear,HS_Random_4_9_2,126560.0,126604.0,15.014698300000001,10
sfc,set2_7types_linear,HS_Random_4_9_3,129070.0,129106.0,8.228933999999999,10
vanilla,set2_7types_linear,HS_Random_4_9_3,128880.0,128968.0,16.1532428,10
sfc,set2_7types_linear,HS_Random_4_9_4,130090.0,130115.0,7.3121259,10
vanilla,set2_7types_linear,HS_Random_4_9_4,129900.0,129960.0,15.6142819,10
sfc,set2_7types_linear,HS_Random_4_9_5,125380.0,125446.0,8.5008369,10
vanilla,set2_7types_linear,HS_Random_4_9_5,125340.0,125396.0,16.9429262,10
sfc,set2_7types_linear,HS_Random_4_9_6,123780.0,123878.0,8.933874,10
vanilla,set2_7types_linear,HS_Random_4_9_6,123710.0,123789.0,14.581982,10
sfc,set2_7types_linear,HS_Random_4_9_7,127200.0,127277.0,8.9155732,10
vanilla,set2_7types_linear,HS_Random_4_9_7,127180.0,127239.0,14.9226542,10
sfc,set2_7types_linear,HS_Random_4_9_8,126950.0,126977.0,6.9212299,10
vanilla,set2_7types_linear,HS_Random_4_9_8,126760.0,126825.0,13.1590708,10
sfc,set2_7types_linear,HS_Random_4_9_9,123730.0,123792.0,7.3105563,10
vanilla,set2_7types_linear,HS_Random_4_9_9,123580.0,123639.0,14.32762,10
